Gen,Score,Running Score,Actor Loss,Running Actor Loss,Critic Loss,Running Critic Loss,Alpha Loss,Running Alpha Loss,Alpha
1,11.0,0,0,0,0,0,0,0,1.0
2,16.0,0,0,0,0,0,0,0,1.0
3,17.0,0,0,0,0,0,0,0,1.0
4,26.0,0,0,0,0,0,0,0,1.0
5,15.0,0,0,0,0,0,0,0,1.0
6,27.0,0,0,0,0,0,0,0,1.0
7,18.0,0,0,0,0,0,0,0,1.0
8,12.0,0,0,0,0,0,0,0,1.0
9,29.0,0,0,0,0,0,0,0,1.0
10,14.0,0,0,0,0,0,0,0,1.0
11,19.0,0,0,0,0,0,0,0,1.0
12,12.0,0,0,0,0,0,0,0,1.0
13,44.0,0,0,0,0,0,0,0,1.0
14,21.0,0,0,0,0,0,0,0,1.0
15,15.0,0,0,0,0,0,0,0,1.0
16,24.0,0,0,0,0,0,0,0,1.0
17,10.0,0,0,0,0,0,0,0,1.0
18,29.0,0,0,0,0,0,0,0,1.0
19,24.0,0,0,0,0,0,0,0,1.0
20,15.0,0,0,0,0,0,0,0,1.0
21,33.0,0,-0.6238982677459717,0,5.075877904891968,0,0.00952418614178896,0,0.9999000430107117
22,10.0,0,-0.625058114528656,0,5.022764682769775,0,0.010447833687067032,0,0.999799907207489
23,14.0,0,-0.6260260343551636,0,5.098484516143799,0,0.011229247786104679,0,0.9996995329856873
24,37.0,0,-0.6271198391914368,0,5.061324119567871,0,0.01208995096385479,0,0.9995989799499512
25,24.0,0,-0.6278558969497681,0,5.102527856826782,0,0.012611906044185162,0,0.9994981288909912
26,21.0,0,-0.6282642483711243,0,5.085492134094238,0,0.012824663892388344,0,0.9993969202041626
27,12.0,0,-0.6288751363754272,0,5.045668601989746,0,0.013224667869508266,0,0.9992954730987549
28,45.0,0,-0.6292723417282104,0,5.141909837722778,0,0.013416158966720104,0,0.9991936683654785
29,17.0,0,-0.6297075748443604,0,5.00283408164978,0,0.013569372706115246,0,0.9990916848182678
30,34.0,0,-0.6299313902854919,0,5.066056728363037,0,0.013639245182275772,0,0.9989894032478333
31,17.0,0,-0.6301892995834351,0,5.0480382442474365,0,0.013674482703208923,0,0.9988870620727539
32,18.0,0,-0.6304161548614502,0,5.102562189102173,0,0.013639715500175953,0,0.9987845420837402
33,17.0,0,-0.6306177973747253,0,5.132609844207764,0,0.01360886450856924,0,0.9986819624900818
34,19.0,0,-0.630821704864502,0,5.089719533920288,0,0.0135652432218194,0,0.9985793828964233
35,20.0,0,-0.6310170888900757,0,5.1199891567230225,0,0.013544642366468906,0,0.9984767436981201
36,15.0,0,-0.6312534213066101,0,5.101447343826294,0,0.01351901888847351,0,0.9983742237091064
37,17.0,0,-0.6314594149589539,0,5.02657413482666,0,0.013506867922842503,0,0.9982717037200928
38,22.0,0,-0.6317269206047058,0,5.056988477706909,0,0.01354243978857994,0,0.9981691241264343
39,18.0,0,-0.6320210695266724,0,5.063333749771118,0,0.01360474992543459,0,0.9980666637420654
40,20.0,0,-0.6323267817497253,0,5.069733619689941,0,0.013629098422825336,0,0.9979641437530518
41,28.0,0,-0.6326387524604797,0,5.075960874557495,0,0.013696806505322456,0,0.9978615641593933
42,14.0,0,-0.6328884959220886,0,5.009125709533691,0,0.013687093742191792,0,0.9977589845657349
43,46.0,0,-0.6331750154495239,0,5.07203483581543,0,0.013736603781580925,0,0.9976564645767212
44,27.0,0,-0.6334007978439331,0,5.086444854736328,0,0.013757217675447464,0,0.997553825378418
45,16.0,0,-0.6337162852287292,0,5.019449472427368,0,0.013758459128439426,0,0.9974512457847595
